Stethoscope	ECG
-0.0308228	0.015564
-0.0604248	0.0152588
-0.0680542	0.0149536
-0.0588989	0.0146484
-0.0271606	0.0143433
0.00793457	0.0140381
0.0201416	0.0131226
0.0369263	0.012207
0.0579834	0.0115967
0.06073	0.012207
0.0543213	0.0131226
0.0375366	0.0140381
0.00183105	0.0149536
-0.0128174	0.0167847
-0.0222778	0.0195313
-0.032959	0.0222778
-0.0439453	0.0247192
-0.055542	0.0265503
-0.0643921	0.0280762
-0.0372314	0.0296021
-0.0149536	0.0311279
-0.00823975	0.0320435
0.0302124	0.0320435
0.0610352	0.0317383
0.0506592	0.0317383
0.0613403	0.0323486
0.0531006	0.032959
0.00854492	0.032959
-0.0125122	0.0326538
-0.0234985	0.0317383
-0.0357056	0.0314331
-0.0314331	0.0311279
-0.0296021	0.0299072
-0.0186157	0.0274658
0.0109863	0.0250244
0.0292969	0.0244141
0.017395	0.0250244
0.00732422	0.0268555
0.00732422	0.0283813
0.00152588	0.0296021
-0.0167847	0.0308228
-0.0396729	0.0317383
-0.0305176	0.032959
-0.00488281	0.0332642
0.0109863	0.0323486
0.0228882	0.0302124
0.0271606	0.0268555
0.00549316	0.022583
0.0119019	0.0183105
0.0216675	0.0140381
0.000610352	0.0100708
-0.00457764	0.00610352
-0.00549316	0.00183105
-0.0109863	-0.0012207
-0.0250244	-0.00366211
-0.0424194	-0.00579834
-0.0518799	-0.00823975
-0.0534058	-0.010376
-0.0201416	-0.0119019
0.0360107	-0.0131226
0.0662231	-0.0146484
0.078125	-0.015564
0.0894165	-0.0167847
0.0509644	-0.0183105
0.00549316	-0.0198364
-0.0152588	-0.0210571
-0.0546265	-0.0216675
-0.0814819	-0.0222778
-0.0689697	-0.0234985
-0.0512695	-0.0244141
-0.0305176	-0.0253296
-0.00335693	-0.0256348
0.017395	-0.0259399
0.0411987	-0.0259399
0.0549316	-0.0259399
0.0567627	-0.0265503
0.0411987	-0.0268555
0.027771	-0.0265503
0.00854492	-0.0259399
-0.0146484	-0.0253296
-0.0335693	-0.0244141
-0.057373	-0.0234985
-0.0698853	-0.0219727
-0.0830078	-0.020752
-0.0796509	-0.0195313
-0.0332642	-0.0183105
0.00213623	-0.0177002
-0.00305176	-0.0170898
0.0247192	-0.0167847
0.0372314	-0.0158691
0.0152588	-0.0152588
0.18219	-0.0149536
0.375061	-0.0149536
0.378113	-0.0149536
0.285645	-0.0152588
0.0326538	-0.0152588
-0.244446	-0.0149536
-0.406799	-0.0149536
-0.507813	-0.0149536
-0.506287	-0.0152588
-0.387573	-0.0161743
-0.220032	-0.0170898
0.00427246	-0.0177002
0.215759	-0.0170898
0.336914	-0.0161743
0.390015	-0.0149536
0.401001	-0.0128174
0.346069	-0.0112915
0.255127	-0.0106812
0.159607	-0.0106812
0.032959	-0.010376
-0.109558	-0.0100708
-0.205688	-0.0100708
-0.273743	-0.0106812
-0.306396	-0.0119019
-0.290222	-0.0131226
-0.240173	-0.0143433
-0.151367	-0.0146484
